LGA_CODE,LGA_NAME,r_one_br,r_two_br,r_three_br,r_four_or_more_br,r_bedsitter,r_not_specified,r_flat,r_house,r_other,r_townhouse,r_weekly_rent_median
LGA17550,Tweed,295.0,403.0,495.0,600.0,0.0,420.0,400.0,530.0,400.0,480.0,480.0
LGA17620,Upper Hunter Shire,0.0,230.0,320.0,380.0,0.0,0.0,228.0,300.0,0.0,0.0,280.0
LGA17650,Uralla,0.0,0.0,295.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,285.0
LGA17750,Wagga Wagga,191.0,240.0,330.0,420.0,0.0,0.0,230.0,340.0,310.0,320.0,310.0
LGA17900,Walgett,0.0,0.0,250.0,0.0,0.0,0.0,175.0,250.0,0.0,0.0,200.0
LGA17950,Warren,0.0,0.0,300.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,285.0
LGA18020,Warrumbungle Shire,0.0,175.0,235.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,205.0
LGA18050,Waverley,550.0,750.0,1100.0,1473.0,425.0,650.0,695.0,1200.0,690.0,998.0,720.0
LGA18200,Wentworth,0.0,0.0,300.0,110.0,0.0,0.0,0.0,110.0,0.0,0.0,160.0
LGA18250,Willoughby,525.0,650.0,900.0,1200.0,405.0,625.0,595.0,900.0,660.0,680.0,625.0
LGA18350,Wingecarribee,310.0,365.0,460.0,565.0,0.0,0.0,350.0,495.0,0.0,500.0,473.0
LGA18400,Wollondilly,0.0,330.0,430.0,520.0,0.0,455.0,320.0,450.0,400.0,410.0,430.0
LGA18450,Wollongong,290.0,380.0,490.0,600.0,87.0,270.0,365.0,500.0,293.0,478.0,440.0
LGA18500,Woollahra,538.0,725.0,1200.0,2000.0,373.0,550.0,700.0,1283.0,720.0,1100.0,750.0
LGA18710,Yass Valley,0.0,320.0,380.0,520.0,0.0,0.0,0.0,410.0,0.0,0.0,388.0
LGA10800,Bland,,,,,,,0.0,253.0,0.0,0.0,250.0
LGA10950,Bogan,,,,,,,0.0,260.0,0.0,0.0,240.0
LGA11600,Carrathool,,,,,,,0.0,225.0,0.0,0.0,238.0
LGA12000,Coolamon,,,,,,,0.0,260.0,0.0,0.0,220.0
LGA12950,Gilgandra,,,,,,,150.0,250.0,0.0,0.0,188.0
LGA13660,Gwydir,,,,,,,0.0,220.0,0.0,0.0,218.0
LGA17640,Upper Lachlan Shire,,,,,,,0.0,320.0,0.0,0.0,310.0
LGA10300,Balranald,,,,,,,,,,,0.0
LGA11200,Brewarrina,,,,,,,,,,,0.0
LGA12150,Coonamble,,,,,,,,,,,0.0
LGA13850,Hay,,,,,,,,,,,195.0
LGA14600,Lachlan,,,,,,,,,,,220.0
LGA14950,Lockhart,,,,,,,,,,,0.0
LGA15560,Murrumbidgee,,,,,,,,,,,230.0
LGA17850,Walcha,,,,,,,,,,,220.0
LGA18100,Weddin,,,,,,,,,,,235.0
