LGA_CODE,LGA_NAME,s_mean_nonstrata,s_mean_strata,s_median_nonstrata,s_median_strata,s_mean_sales,s_median_sales,r_one_br,r_two_br,r_three_br,r_four_or_more_br,r_bedsitter,r_not_specified,r_flat,r_house,r_other,r_townhouse,r_weekly_rent_median
LGA14650,Lake Macquarie,609.0,458.0,580.0,447.0,592.0,558.0,260.0,350.0,420.0,520.0,0.0,410.0,330.0,430.0,360.0,420.0,410.0
LGA14700,Lane Cove,2205.0,853.0,2000.0,777.0,1267.0,968.0,515.0,590.0,850.0,1280.0,0.0,415.0,550.0,910.0,520.0,720.0,575.0
LGA14750,Leeton,268.0,0.0,253.0,0.0,254.0,231.0,0.0,200.0,300.0,320.0,0.0,0.0,200.0,300.0,0.0,0.0,280.0
LGA14850,Lismore,419.0,276.0,382.0,280.0,407.0,376.0,210.0,283.0,380.0,460.0,0.0,0.0,260.0,385.0,0.0,310.0,360.0
LGA14870,Lithgow,411.0,0.0,345.0,0.0,407.0,345.0,0.0,270.0,300.0,390.0,0.0,0.0,220.0,300.0,0.0,0.0,295.0
LGA14900,Liverpool,780.0,498.0,750.0,522.0,724.0,706.0,325.0,390.0,470.0,580.0,0.0,420.0,390.0,500.0,400.0,465.0,430.0
LGA14920,Liverpool Plains,260.0,0.0,223.0,0.0,260.0,223.0,0.0,190.0,260.0,0.0,0.0,0.0,165.0,260.0,0.0,0.0,249.0
LGA14950,Lockhart,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
LGA15050,Maitland,492.0,350.0,470.0,340.0,481.0,453.0,210.0,310.0,380.0,460.0,0.0,380.0,290.0,420.0,350.0,350.0,385.0
LGA15240,Mid-Coast,457.0,390.0,415.0,365.0,446.0,410.0,210.0,295.0,360.0,440.0,0.0,268.0,280.0,360.0,320.0,350.0,330.0
LGA15270,Mid-Western Regional,412.0,0.0,408.0,0.0,409.0,405.0,240.0,298.0,380.0,430.0,0.0,0.0,300.0,385.0,390.0,423.0,380.0
LGA15300,Moree Plains,215.0,0.0,193.0,0.0,215.0,193.0,0.0,185.0,300.0,310.0,0.0,0.0,180.0,280.0,0.0,0.0,250.0
LGA15350,Mosman,3991.0,1145.0,3603.0,963.0,2167.0,1478.0,480.0,650.0,1150.0,2000.0,0.0,750.0,593.0,1550.0,0.0,930.0,650.0
LGA15520,Murray River,376.0,0.0,320.0,0.0,367.0,318.0,0.0,260.0,343.0,0.0,0.0,0.0,0.0,348.0,0.0,0.0,330.0
LGA15560,Murrumbidgee,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,230.0
LGA15650,Muswellbrook,324.0,0.0,325.0,0.0,318.0,320.0,0.0,250.0,320.0,400.0,0.0,355.0,223.0,378.0,380.0,0.0,350.0
LGA15700,Nambucca,420.0,0.0,400.0,0.0,410.0,378.0,0.0,280.0,360.0,430.0,0.0,0.0,253.0,365.0,0.0,0.0,350.0
LGA15750,Narrabri,272.0,0.0,250.0,0.0,272.0,250.0,210.0,220.0,345.0,380.0,0.0,0.0,215.0,350.0,0.0,0.0,320.0
LGA15800,Narrandera,194.0,0.0,186.0,0.0,194.0,186.0,0.0,185.0,250.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,220.0
LGA15850,Narromine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,250.0
LGA15900,Newcastle,650.0,551.0,600.0,510.0,626.0,580.0,260.0,400.0,450.0,540.0,0.0,335.0,360.0,448.0,185.0,448.0,400.0
LGA15950,North Sydney,2343.0,1140.0,2278.0,1043.0,1368.0,1195.0,500.0,680.0,950.0,1425.0,440.0,608.0,610.0,1000.0,560.0,900.0,633.0
LGA15990,Northern Beaches,1722.0,908.0,1600.0,800.0,1323.0,1237.0,495.0,643.0,900.0,1150.0,495.0,500.0,595.0,950.0,663.0,818.0,660.0
LGA16100,Oberon,454.0,0.0,385.0,0.0,454.0,385.0,0.0,0.0,330.0,0.0,0.0,0.0,0.0,340.0,0.0,0.0,328.0
LGA16150,Orange,435.0,284.0,412.0,261.0,416.0,403.0,220.0,273.0,350.0,430.0,0.0,373.0,260.0,380.0,340.0,345.0,350.0
LGA16200,Parkes,295.0,0.0,276.0,0.0,293.0,271.0,0.0,230.0,290.0,365.0,0.0,0.0,200.0,300.0,0.0,0.0,283.0
LGA16260,Parramatta,1068.0,642.0,1010.0,647.0,815.0,754.0,450.0,480.0,550.0,700.0,0.0,430.0,480.0,550.0,455.0,550.0,490.0
LGA16350,Penrith,650.0,451.0,643.0,460.0,603.0,610.0,300.0,350.0,410.0,520.0,380.0,380.0,360.0,430.0,340.0,400.0,400.0
LGA16380,Port Macquarie-Hastings,583.0,420.0,563.0,398.0,542.0,525.0,231.0,330.0,420.0,515.0,0.0,400.0,320.0,440.0,370.0,380.0,380.0
LGA16400,Port Stephens,587.0,436.0,583.0,400.0,547.0,518.0,240.0,320.0,400.0,500.0,0.0,0.0,320.0,430.0,350.0,400.0,400.0
LGA16490,Queanbeyan-Palerang Regional,668.0,325.0,639.0,350.0,556.0,531.0,240.0,350.0,480.0,658.0,0.0,0.0,300.0,548.0,325.0,430.0,410.0
LGA16550,Randwick,2061.0,943.0,1960.0,860.0,1323.0,1060.0,495.0,640.0,850.0,1250.0,420.0,430.0,600.0,950.0,500.0,900.0,620.0
LGA16610,Richmond Valley,316.0,0.0,300.0,0.0,317.0,303.0,0.0,285.0,350.0,450.0,0.0,0.0,275.0,350.0,300.0,0.0,340.0
LGA16700,Ryde,1428.0,739.0,1335.0,685.0,998.0,895.0,470.0,500.0,655.0,835.0,0.0,600.0,490.0,650.0,550.0,600.0,510.0
LGA16900,Shellharbour,646.0,483.0,630.0,490.0,617.0,600.0,280.0,370.0,470.0,560.0,0.0,0.0,340.0,490.0,440.0,480.0,463.0
LGA16950,Shoalhaven,605.0,402.0,560.0,403.0,592.0,540.0,250.0,320.0,380.0,470.0,0.0,320.0,295.0,390.0,365.0,365.0,370.0
LGA17000,Singleton,450.0,291.0,428.0,310.0,414.0,375.0,0.0,280.0,380.0,460.0,0.0,415.0,285.0,415.0,0.0,0.0,375.0
LGA17040,Snowy Monaro Regional,379.0,376.0,350.0,354.0,379.0,350.0,360.0,380.0,435.0,650.0,0.0,0.0,478.0,380.0,0.0,1180.0,440.0
LGA17080,Snowy Valleys,288.0,0.0,260.0,0.0,288.0,260.0,0.0,230.0,280.0,335.0,0.0,0.0,210.0,270.0,0.0,0.0,250.0
LGA17100,Strathfield,2499.0,627.0,2250.0,633.0,1128.0,670.0,440.0,510.0,620.0,870.0,0.0,500.0,500.0,680.0,480.0,655.0,510.0
LGA17150,Sutherland Shire,1159.0,735.0,1050.0,700.0,960.0,880.0,400.0,480.0,650.0,848.0,0.0,580.0,470.0,680.0,495.0,650.0,550.0
LGA17200,Sydney,1585.0,956.0,1500.0,840.0,1061.0,930.0,560.0,780.0,1000.0,1170.0,430.0,585.0,650.0,793.0,515.0,850.0,650.0
LGA17310,Tamworth Regional,360.0,0.0,335.0,0.0,354.0,329.0,195.0,263.0,320.0,395.0,0.0,300.0,250.0,340.0,300.0,300.0,320.0
LGA17350,Temora,258.0,0.0,250.0,0.0,258.0,250.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,260.0
LGA17400,Tenterfield,254.0,0.0,240.0,0.0,254.0,240.0,0.0,200.0,260.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,230.0
LGA17420,The Hills Shire,1194.0,733.0,1128.0,721.0,1098.0,1050.0,405.0,495.0,570.0,670.0,0.0,580.0,500.0,625.0,490.0,570.0,580.0
