LGA_CODE,LGA_NAME,flat,house,other,townhouse
LGA17750,Wagga Wagga,230.0,340.0,310.0,320.0
LGA17900,Walgett,175.0,250.0,0.0,0.0
LGA17950,Warren,0.0,300.0,0.0,0.0
LGA18020,Warrumbungle Shire,0.0,230.0,0.0,0.0
LGA18050,Waverley,695.0,1200.0,690.0,998.0
LGA18200,Wentworth,0.0,110.0,0.0,0.0
LGA18250,Willoughby,595.0,900.0,660.0,680.0
LGA18350,Wingecarribee,350.0,495.0,0.0,500.0
LGA18400,Wollondilly,320.0,450.0,400.0,410.0
LGA18450,Wollongong,365.0,500.0,293.0,478.0
LGA18500,Woollahra,700.0,1283.0,720.0,1100.0
LGA18710,Yass Valley,0.0,410.0,0.0,0.0
