LGA_CODE,land_area,bus_stop,coach_stop,light_rail,train_station,wharf,all_bus_stops,all_train_stations,all_transpo,ntl17_count,ntl17_min,ntl17_mean,ntl17_max,ntl17_sum,ntl19_count,ntl19_min,ntl19_mean,ntl19_max,ntl19_sum
LGA14100,5.7169,102.0,0.0,0.0,0.0,0.0,102.0,0.0,102.0,32,5.369999885559082,11.472187042236328,21.729999542236328,367.1099853515625,32,5.130000114440918,12.063749313354492,20.299999237060547,386.03997802734375
LGA14170,35.3713,546.0,0.0,22.0,10.0,1.0,546.0,32.0,578.0,195,6.889999866485596,28.596717247596153,134.19000244140625,5576.35986328125,195,7.650000095367432,30.290306991185897,122.8499984741211,5906.60986328125
LGA14200,8597.2081,49.0,5.0,0.0,0.0,0.0,54.0,0.0,54.0,46013,0.03999999910593033,0.1882880755167018,26.459999084472656,8663.69921875,46013,0.07999999821186066,0.21781911073365137,30.6299991607666,10022.5107421875
LGA14300,2030.0222,46.0,1.0,0.0,1.0,0.0,47.0,1.0,48.0,11515,0.09000000357627869,0.2279817807275836,20.549999237060547,2625.210205078125,11515,0.14000000059604645,0.3133790758657186,49.31999969482422,3608.56005859375
LGA14350,3375.6707,101.0,1.0,0.0,1.0,0.0,102.0,1.0,103.0,18365,0.029999999329447746,0.2668352674925129,21.739999771118164,4900.4296875,18365,0.10000000149011612,0.2910405641675742,18.610000610351562,5344.9599609375
LGA14400,257.6636,192.0,0.0,0.0,5.0,0.0,192.0,5.0,197.0,1462,0.12999999523162842,0.6619424676438526,21.719999313354492,967.7598876953125,1462,0.14000000059604645,0.6707387107504702,17.25,980.6199951171875
LGA14500,85.4096,799.0,0.0,0.0,8.0,0.0,799.0,8.0,807.0,476,0.6100000143051147,5.7137394752823,24.030000686645508,2719.739990234375,476,0.6899999976158142,5.646596700203519,26.540000915527344,2687.780029296875
LGA14550,3584.1644,30.0,0.0,0.0,1.0,0.0,30.0,1.0,31.0,19049,0.05000000074505806,0.1964019241905743,10.34000015258789,3741.26025390625,19049,0.07999999821186066,0.2301722028961494,8.920000076293945,4384.55029296875
LGA14600,14964.2752,0.0,4.0,0.0,1.0,0.0,4.0,1.0,5.0,83101,0.029999999329447746,0.19401573226781266,15.380000114440918,16122.9013671875,83101,0.10000000149011612,0.25431633080528515,11.890000343322754,21133.94140625
LGA14650,648.6398,1994.0,0.0,0.0,9.0,0.0,1994.0,9.0,2003.0,3602,0.12999999523162842,1.9410437669176845,36.54999923706055,6991.6396484375,3602,0.17000000178813934,2.0675624273407136,45.709999084472656,7447.35986328125
