LGA_CODE,Age_below_15_yr,Age_15_64_yr,Age_over_65_yr,Age_below_15_yr_perc,Age_15_64_yr_perc,Age_over_65_yr_perc,BP_Aus,BP_Non_Aus,BP_Aus_Perc,BP_Non_Aus_Perc,SE_Yr10_above,SE_Yr9_below,SE_Yr10_above_Perc,SE_Yr9_below_Perc,MS_Married,MS_Separated,MS_Divorced,MS_Widowed,MS_Never_Married,MS_Single,MS_Married_Perc,MS_Separated_Perc,MS_Divorced_Perc,MS_Widowed_Perc,MS_Never_Married_Perc,MS_Single_Perc,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_fam_inc_weekly,Median_tot_hhd_inc_weekly,Average_household_size,P_Afghanistan_Tot,P_Australia_Tot,P_Bangladesh_Tot,P_Bosnia_Herzegov_Tot,P_Cambodia_Tot,P_Canada_Tot,P_Chile_Tot,P_China_Tot,P_Croatia_Tot,P_Egypt_Tot,P_England_Tot,P_Fiji_Tot,P_France_Tot,P_Germany_Tot,P_Greece_Tot,P_Hong_Kong_Tot,P_India_Tot,P_Indonesia_Tot,P_Iran_Tot,P_Iraq_Tot,P_Ireland_Tot,P_Italy_Tot,P_Japan_Tot,P_Korea_South_Tot,P_Lebanon_Tot,P_Malaysia_Tot,P_Malta_Tot,P_Mauritius_Tot,P_Myanmar_Tot,P_Nepal_Tot,P_Netherlands_Tot,P_New_Zealand_Tot,P_Nthern_Ireland_Tot,P_Pakistan_Tot,P_PNG_Tot,P_Philippines_Tot,P_Poland_Tot,P_Scotland_Tot,P_Singapore_Tot,P_South_Africa_Tot,P_SE_Europe_nfd_Tot,P_Sri_Lanka_Tot,P_Taiwan_Tot,P_Thailand_Tot,P_FYROM_Tot,P_Turkey_Tot,P_USA_Tot,P_Vietnam_Tot,P_Wales_Tot,P_Zimbabwe_Tot,P_Elsewhere_Tot,P_COB_NS_Tot,P_Y12e_Tot,P_Y11e_Tot,P_Y10e_Tot,P_Y9e_Tot,P_Y8b_Tot,P_DNGTS_Tot,P_Hghst_yr_schl_ns_Tot
LGA11450,18703,51276,8249,23.908319271871964,65.54686301579997,10.544817712328067,60543,13768,81.47246033561653,18.527539664383468,49262,6501,88.34173197281352,11.658268027186486,32954,1877,4170,2317,18190,26554,55.37742824494186,3.154197754923708,7.007461181689857,3.893594138603213,30.567318679841364,44.622571755058146,33,821,2161,2047,3.1,93,60543,68,98,81,98,249,493,192,158,2454,541,43,257,91,78,675,89,84,296,260,523,21,50,267,119,315,122,13,44,154,1069,133,153,43,543,146,420,63,371,87,132,51,140,76,34,179,161,96,151,1701,3909,27831,3364,16194,3394,1827,264,3669
LGA11500,33862,104630,18525,21.56581771400549,66.63609672837974,11.798085557614781,97314,49325,66.36297301536426,33.63702698463574,97854,15819,86.0837665936502,13.916233406349793,58312,4976,10364,5459,44034,64833,47.352308254496734,4.040764951885988,8.416094847537456,4.432985504892606,35.75784644118722,52.647691745503266,34,632,1597,1459,3.0,266,97314,3354,215,407,132,809,1568,393,798,3918,2678,81,483,315,269,4625,597,203,704,328,481,84,153,1135,429,271,474,80,1096,252,4247,168,1099,86,4111,477,764,123,905,154,638,84,555,186,77,303,843,122,195,7600,10371,57705,6601,29670,7832,5266,1161,9289
LGA11520,14285,60818,12910,16.230556849556315,69.10115551111767,14.668287639326008,46864,35675,56.778007971989,43.221992028011,62204,6345,90.74384746677559,9.256152533224409,37469,1623,5266,3473,25900,36262,50.81851595665324,2.2012450665256136,7.142179002047985,4.710366060408783,35.12769391436438,49.181484043346764,36,882,2361,2061,2.6,14,46864,74,59,62,150,159,8647,162,367,2225,188,137,272,657,1194,2113,388,327,56,530,3668,216,3125,436,724,130,78,83,381,109,1251,89,156,65,712,182,287,245,430,88,365,276,358,56,249,372,655,55,53,2995,5473,50108,2088,8430,1923,2919,815,5142
LGA11570,71037,227021,48246,20.512901958972463,65.55540796525597,13.931690075771577,171649,152698,52.92140824487355,47.07859175512645,212447,41653,83.60763478945297,16.392365210547027,141340,9495,21802,14926,87696,133919,51.34800315339372,3.4494784911665013,7.920540291143976,5.422529326924823,31.85944873737099,48.65199684660629,35,502,1437,1298,3.0,469,171649,7081,350,502,204,547,18846,616,2847,2841,2241,223,748,7042,2247,5073,3628,630,1862,552,3785,358,3211,19818,1860,539,640,1443,2902,200,4455,95,4853,143,4114,628,388,423,550,268,646,459,1193,1971,697,530,19068,81,160,18681,21956,151176,9802,42076,11476,19128,8057,20826
LGA11600,537,1780,399,19.771723122238587,65.53755522827687,14.690721649484537,2180,263,89.23454768726975,10.76545231273025,1540,380,80.20833333333334,19.791666666666664,1088,69,129,142,751,1091,49.931161083065625,3.166590178981184,5.920146856356126,6.516750803120698,34.46535107847637,50.068838916934375,40,681,1538,1240,2.4,0,2180,0,0,0,0,0,4,0,0,31,4,5,4,0,7,38,3,0,0,7,9,3,19,0,0,4,0,0,0,3,29,4,0,0,14,0,10,0,22,0,0,9,0,0,3,5,0,0,9,27,282,737,156,614,176,165,13,253
LGA11650,60426,198752,68560,18.43728832176922,60.64356284593181,20.91914883229897,258376,48054,84.31811506706262,15.681884932937376,207901,36548,85.0488240900965,14.951175909903498,123900,10562,29266,18906,84675,143409,46.35085238431927,3.9512324687908005,10.948378094265438,7.0727136011133185,31.676823451511172,53.649147615680725,42,600,1560,1258,2.5,24,258376,70,68,74,562,307,1498,266,348,15125,379,280,1171,332,266,1393,384,123,58,1052,888,273,577,192,414,640,147,62,89,1000,5506,343,137,303,1752,339,1889,197,1612,128,239,116,560,39,90,1056,302,485,278,4619,21301,106672,15917,78496,20765,11057,806,22410
LGA11700,347,1198,293,18.879216539717085,65.17954298150164,15.941240478781285,1457,81,94.73342002600779,5.266579973992198,822,337,70.92320966350302,29.076790336496984,495,64,126,66,728,984,33.46855983772819,4.3272481406355645,8.519269776876268,4.462474645030426,49.22244759972955,66.5314401622718,39,460,1075,901,2.4,0,1457,0,0,0,3,0,3,0,3,14,3,0,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,12,295,333,104,366,170,153,7,318
LGA11720,11379,35078,9109,20.478350070186803,63.12853183601484,16.393118093798368,47595,3492,93.16460156204123,6.8353984379587756,30966,8048,79.37150766391552,20.628492336084484,19658,1896,4457,2676,15498,24527,44.49021161027498,4.291048998528913,10.087133642638904,6.056353966278149,35.075251782279054,55.509788389725024,38,540,1414,1177,2.6,6,47595,0,0,0,39,18,49,16,7,1042,47,15,159,6,10,97,23,3,0,53,39,10,15,19,42,24,0,0,8,81,519,28,17,19,179,20,207,9,91,15,13,7,92,3,3,89,15,33,13,272,4478,11990,2968,15010,4678,2629,114,5051
LGA11730,8307,29356,13006,16.394639720539185,57.93680554185004,25.668554737610766,42432,3819,91.74288123500033,8.257118764999676,30213,7490,80.13420682704295,19.86579317295706,19967,1749,4794,3371,12474,22388,47.14201392987841,4.129382599456971,11.318616456144493,7.958918663676072,29.451068350844057,52.85798607012159,49,477,1133,910,2.3,0,42432,4,0,3,49,11,55,9,18,1283,31,28,157,12,30,87,26,3,3,41,38,21,4,3,35,26,5,3,11,162,560,28,10,34,154,10,153,8,86,6,28,16,45,3,3,116,31,43,29,318,4411,12629,2532,14088,4059,2750,132,4533
LGA11750,1031,2982,640,22.157747689662582,64.08768536428111,13.754566946056308,3716,326,91.93468579910935,8.065314200890649,2501,581,81.14860480207658,18.851395197923427,1656,149,306,213,1303,1971,45.6575682382134,4.108078301626689,8.436724565756824,5.87262200165426,35.925006892748826,54.3424317617866,36,706,1923,1495,2.4,0,3716,10,0,0,8,0,3,0,0,37,6,0,3,0,0,16,3,0,0,15,3,0,0,0,5,0,0,3,3,9,68,4,5,19,12,0,0,0,26,0,9,0,3,0,0,8,3,3,3,31,612,1055,281,1090,289,236,13,531
