stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code,transportation
2760291,2760291,Saddington St After Pages Rd,-33.77251121,150.7686986,,,0,,bus_stop
2760309,2760309,Saddington St At Monfarville St,-33.77393796,150.7765523,,,0,,bus_stop
2760305,2760305,Saddington St Before Collins St,-33.77371998,150.7754313,,,0,,bus_stop
2760290,2760290,Saddington St Before Pages Rd,-33.77265488,150.7687157,,,0,,bus_stop
2760219,2760219,Saddington St Near Mamre Rd,-33.77305542,150.772413,,,0,,bus_stop
2321195,2321195,Saddlers Dr After Crestview St,-32.7586662,151.5324356,,,0,,bus_stop
2321185,2321185,Saddlers Dr Before Paradise St,-32.7616708,151.5333025,,,0,,bus_stop
232122,232122,Saddlers Dr Opp Paradise St,-32.76147759,151.5331647,,,0,,bus_stop
2321184,2321184,Saddlers Dr Opp Scenic Dr,-32.76013734,151.5331073,,,0,,bus_stop
216835,216835,Sadleir Av After Maxwells Av,-33.91947545,150.8950297,,,0,,bus_stop
2168150,2168150,Sadleir Av At Celebration Rd,-33.91252751,150.8947563,,,0,,bus_stop
2168267,2168267,Sadleir Av At Maxwells Av,-33.91949663,150.8952144,,,0,,bus_stop
2168145,2168145,Sadleir Av At Sutton Rd,-33.9149512,150.8950505,,,0,,bus_stop
2168151,2168151,Sadleir Av Before South Liverpool Rd,-33.90969001,150.8930167,,,0,,bus_stop
2168144,2168144,Sadleir Av Opp Celebration Rd,-33.91247602,150.8949593,,,0,,bus_stop
2168143,2168143,Sadleir Av Opp Jagungal Pl,-33.90959661,150.8931205,,,0,,bus_stop
216887,216887,Sadleir Av Opp Sadleir Park,-33.9177568,150.8949513,,,0,,bus_stop
216836,216836,"Sadleir Park, Sadleir Av",-33.91782492,150.8947923,,,0,,bus_stop
216885,216885,"Sadleir Public School, Insignia St",-33.91702623,150.8907027,,,0,,bus_stop
24566,24566,Safety Beach Dr At Ocean Dr,-30.09629232,153.1981987,,,0,,bus_stop
2285294,2285294,Saffron Av Opp Corwen Cl,-32.95477459,151.6611203,,,0,,bus_stop
2285295,2285295,Saffron Av Opp Haddington Dr,-32.9542791,151.6608806,,,0,,bus_stop
2075115,2075115,Sage St Before Lowry Cres,-33.7412923,151.1596624,,,0,,bus_stop
207559,207559,Sage St Opp Lowy Cres,-33.74130393,151.1593178,,,0,,bus_stop
211385,211385,"Sager Place Centre, Sager Pl",-33.80981598,151.1323164,,,0,,bus_stop
231692,231692,"Sahara Trails, Port Stephens Dr",-32.76329874,152.0665954,,,0,,bus_stop
206319,206319,Sailors Bay Rd After Weetawaa Rd,-33.8104192,151.2241996,,,0,,bus_stop
206325,206325,Sailors Bay Rd At Aubrey Rd,-33.8105286,151.2257377,,,0,,bus_stop
206335,206335,Sailors Bay Rd At Bellambi St,-33.81086634,151.2114097,,,0,,bus_stop
206324,206324,Sailors Bay Rd At Bourmac Av,-33.80919796,151.2277553,,,0,,bus_stop
206333,206333,Sailors Bay Rd At Gunyah St,-33.81139614,151.2138319,,,0,,bus_stop
206338,206338,Sailors Bay Rd At Tunks St,-33.81153662,151.2157817,,,0,,bus_stop
206320,206320,Sailors Bay Rd Opp Aubrey Rd,-33.81039701,151.2256341,,,0,,bus_stop
206321,206321,Sailors Bay Rd Opp Bourmac Av,-33.80875069,151.2281865,,,0,,bus_stop
206322,206322,Sailors Bay Rd Opp Clive Park,-33.80748546,151.2298727,,,0,,bus_stop
206336,206336,Sailors Bay Rd Opp Gunyah St,-33.81116582,151.2134536,,,0,,bus_stop
206339,206339,Sailors Bay Rd Opp Namoi Rd,-33.81174986,151.2171845,,,0,,bus_stop
206340,206340,Sailors Bay Rd Opp Northbridge Golf Club,-33.81082812,151.2212084,,,0,,bus_stop
206341,206341,Sailors Bay Rd Opp Northbridge War Memorial,-33.8101873,151.2220295,,,0,,bus_stop
206337,206337,Sailors Bay Rd Opp St Philip Neri Primary School,-33.81143998,151.2151833,,,0,,bus_stop
206331,206331,Sailors Bay Rd Opp Tunks St,-33.81173884,151.216191,,,0,,bus_stop
206326,206326,Sailors Bay Rd Opp Weetawaa Rd,-33.81054401,151.2242382,,,0,,bus_stop
2170686,2170686,"Saint Catherine Of Siena Primary School, Dalmeny Dr",-33.95237425,150.8682321,,,0,,bus_stop
2259868,2259868,"Saint Cecilia's Primary School, Panonia Rd",-33.29105343,151.4283847,,,0,,bus_stop
277322,277322,"Saint Finbar's Catholic Church, Levy St",-33.76065496,150.6178985,,,0,,bus_stop
2777166,2777166,"Saint George Monastery, Singles Ridge Rd",-33.69751293,150.6354198,,,0,,bus_stop
219351,219351,"Saint Mary Mackillop Reserve, Canterbury Rd",-33.91350378,151.1165086,,,0,,bus_stop
215071,215071,"Saint Patrick's Cathedral, Marist Pl",-33.80890549,151.0035858,,,0,,bus_stop
201857,201857,"Saint Therese Catholic Church, Sutherland St",-33.92592661,151.2010021,,,0,,bus_stop
220845,220845,"Saint Ursulas College, Caroline St",-33.94101407,151.1037807,,,0,,bus_stop
216248,216248,"Salamah College, Hector St",-33.87697594,151.007912,,,0,,bus_stop
231787,231787,"Salamander Bay Oval, Soldiers Point Rd",-32.72501064,152.078668,,,0,,bus_stop
231772,231772,"Salamander Central, Terminus Pde",-32.73567277,152.1085343,,,0,,bus_stop
231720,231720,"Salamander Sports Center, Sandy Point Rd",-32.73338745,152.1087019,,,0,,bus_stop
231748,231748,Salamander Way Before Horizons Dr,-32.7390448,152.092104,,,0,,bus_stop
231742,231742,Salamander Way Opp 146,-32.73925917,152.1034115,,,0,,bus_stop
231741,231741,Salamander Way Opp 174a,-32.73996955,152.1016726,,,0,,bus_stop
231736,231736,Salamander Way Opp 64,-32.7367357,152.0862183,,,0,,bus_stop
231738,231738,Salamander Way Opp Horizons Dr,-32.73899749,152.0926022,,,0,,bus_stop
231746,231746,Salamander Way Opp Nelson Bay Church,-32.74059514,152.0984795,,,0,,bus_stop
231716,231716,Salamander Way Opp Tomaree Aquatic Centre,-32.73852329,152.1156875,,,0,,bus_stop
2125117,2125117,Salina Av At Aiken Rd,-33.7526867,151.0452696,,,0,,bus_stop
2125118,2125118,Salina Av At Anne William Dr,-33.75168173,151.0448664,,,0,,bus_stop
2125116,2125116,Salina Av Before Aiken Rd,-33.75252916,151.0454024,,,0,,bus_stop
2125115,2125115,Salina Av Before Guiffre Pl,-33.75171965,151.0450839,,,0,,bus_stop
2541128,2541128,Salisbury Dr At Tarraba St,-34.887896,150.6172162,,,0,,bus_stop
207781,207781,Salisbury Rd After Sherbrook Rd,-33.69175752,151.1093038,,,0,,bus_stop
202363,202363,Salisbury Rd At Beresford Rd,-33.8776243,151.2578781,,,0,,bus_stop
204819,204819,Salisbury Rd At Bridge Rd,-33.8912698,151.1701719,,,0,,bus_stop
205029,205029,Salisbury Rd At Church St,-33.89098005,151.1789738,,,0,,bus_stop
205036,205036,Salisbury Rd At Hopetoun Lane,-33.89170647,151.1766864,,,0,,bus_stop
205037,205037,Salisbury Rd At Kingston Lane,-33.89173499,151.1734574,,,0,,bus_stop
204834,204834,Salisbury Rd At Myrtle Lane,-33.89214757,151.1671355,,,0,,bus_stop
205035,205035,Salisbury Rd At Northwood St,-33.89118014,151.1789187,,,0,,bus_stop
204820,204820,Salisbury Rd At Stafford St,-33.89142556,151.1708926,,,0,,bus_stop
2077164,2077164,Salisbury Rd Opp Brennan Cl,-33.69641266,151.1112936,,,0,,bus_stop
205028,205028,Salisbury Rd Opp Hopetown St,-33.89154696,151.1768731,,,0,,bus_stop
2077163,2077163,Salisbury Rd Opp Kelray Pl,-33.69444141,151.1109624,,,0,,bus_stop
205026,205026,Salisbury Rd Opp Kingston Lane,-33.8915143,151.1730577,,,0,,bus_stop
204826,204826,Salisbury Rd Opp Myrtle Lane,-33.89232031,151.1670899,,,0,,bus_stop
209218,209218,Salisbury Sq Before Ponsonby Pde,-33.79871632,151.2425202,,,0,,bus_stop
2318246,2318246,"Salt Ash Public School, Cecilia Cl",-32.78837804,151.9036884,,,0,,bus_stop
2318265,2318265,"Salt Ash Rural Fire Service, Michael Dr",-32.78117441,151.9162469,,,0,,bus_stop
221054,221054,Salt Pan Rd At Amy Rd,-33.95539153,151.0440727,,,0,,bus_stop
2210256,2210256,Salt Pan Rd Opp Amy Rd,-33.9557218,151.0438937,,,0,,bus_stop
245065,245065,"Saltwater Park, Harbour Dr",-30.30506788,153.128732,,,0,,bus_stop
221356,221356,"Salvation Army Church,Tower St",-33.95667015,151.0028167,,,0,,bus_stop
216563,216563,"Salvation Army Fairfield, Hamilton Rd",-33.86766417,150.9145353,,,0,,bus_stop
2770610,2770610,"Salvation Army, Archbold Rd",-33.7833698,150.8234163,,,0,,bus_stop
2200338,2200338,Salvia Av After Stacey St,-33.9215875,151.0404077,,,0,,bus_stop
2200340,2200340,Salvia Av At Columbine Av,-33.9221069,151.0429722,,,0,,bus_stop
2200339,2200339,Salvia Av Before Columbine Av,-33.92196473,151.0429115,,,0,,bus_stop
2200337,2200337,Salvia Av Before Stacey St,-33.92169958,151.0400131,,,0,,bus_stop
2155246,2155246,Samantha Riley Dr After Brampton Dr,-33.70312226,150.9475606,,,0,,bus_stop
2155249,2155249,Samantha Riley Dr After Gainsford Dr,-33.71087272,150.9371011,,,0,,bus_stop
2155302,2155302,Samantha Riley Dr After Macquarie Av,-33.71003553,150.9384861,,,0,,bus_stop
2155184,2155184,Samantha Riley Dr After Redden Dr,-33.70377542,150.9460165,,,0,,bus_stop
2155338,2155338,Samantha Riley Dr After Sanctuary Dr,-33.70493952,150.9434283,,,0,,bus_stop
2155340,2155340,Samantha Riley Dr After Windsor Rd,-33.70894802,150.9412182,,,0,,bus_stop
215591,215591,Samantha Riley Dr At Redden Dr,-33.70157981,150.9532363,,,0,,bus_stop
2155341,2155341,Samantha Riley Dr At Windsor Rd,-33.70872823,150.9410464,,,0,,bus_stop
2155183,2155183,Samantha Riley Dr Before Brampton Dr,-33.70353144,150.9460376,,,0,,bus_stop
2155416,2155416,Samantha Riley Dr Before Foxall Rd,-33.69812976,150.9635892,,,0,,bus_stop
215592,215592,Samantha Riley Dr Before Poole Rd,-33.70213196,150.951472,,,0,,bus_stop
2155300,2155300,Samantha Riley Dr Before Redden Dr,-33.70316178,150.9480153,,,0,,bus_stop
2155339,2155339,Samantha Riley Dr Before River Oak Cct,-33.70512332,150.9435984,,,0,,bus_stop
2155415,2155415,Samantha Riley Dr Opp Foxall Rd,-33.69832597,150.9633718,,,0,,bus_stop
215571,215571,Samantha Riley Dr Opp Poole Rd,-33.70202464,150.9511652,,,0,,bus_stop
215572,215572,Samantha Riley Dr Opp Redden Dr,-33.70132756,150.9535158,,,0,,bus_stop
2770565,2770565,Samarai Rd After Luxford Rd,-33.76070632,150.8088462,,,0,,bus_stop
2770562,2770562,Samarai Rd After Madang Av,-33.76154411,150.8056465,,,0,,bus_stop
2770558,2770558,Samarai Rd After Moresby Cres,-33.76034622,150.8015367,,,0,,bus_stop
2770560,2770560,Samarai Rd At Jakari Cres,-33.76118559,150.8026636,,,0,,bus_stop
2770564,2770564,Samarai Rd Before Luxford Rd,-33.76055167,150.8088933,,,0,,bus_stop
2770561,2770561,Samarai Rd Opp Jakari Cres,-33.76121456,150.8023088,,,0,,bus_stop
2770563,2770563,Samarai Rd Opp Madang Av,-33.7616671,150.8057491,,,0,,bus_stop
2770559,2770559,Samarai Rd Opp Moresby Cres,-33.76049287,150.8014569,,,0,,bus_stop
280031,280031,Sampson St After Margaret St,-33.27027317,149.0914495,,,0,,bus_stop
2541116,2541116,Samsuel St At Alfred St,-34.83986861,150.6125645,,,0,,bus_stop
2154130,2154130,"Samuel Gilbert Public School, Ridgecrop Dr",-33.71429748,150.9920227,,,0,,bus_stop
207432,207432,"Samuel King Park, Bobbin Head Rd",-33.71119353,151.1475023,,,0,,bus_stop
